#Romname;Title;Emulator;Cloneof;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Favourite;Tags;PlayedCount;PlayedTime;FileIsAvailable
gauntdl;Gauntlet Dark Legacy (version DL 2.52);mame;;1999;Midway Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (analog),joystick (8-way),joystick (analog),joystick (8-way),joystick (analog),joystick (8-way),joystick (analog);good;1;raster;;;chd;3;;;0;;1
gaunt2;Gauntlet II;mame;;1986;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
gauntleg;Gauntlet Legends (version 1.6);mame;;1998;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (analog),joystick (8-way),joystick (analog),joystick (8-way),joystick (analog),joystick (8-way),joystick (analog);good;1;raster;;;chd;3;;;0;;1
goldmedl;Gold Medalist (set 1, Alpha68k II PCB);mame;;1988;SNK;Sports / Track & Field;4P sim;0;only_buttons,only_buttons,only_buttons,only_buttons;imperfect;1;raster;;;;3;;;0;;1
ga2;Golden Axe: The Revenge of Death Adder (World, Rev B);mame;;1992;Sega;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;0;;1
growl;Growl (World, Rev 1);mame;;1990;Taito Corporation Japan;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;0;;1
ggisuka;Guilty Gear Isuka;mame;;2004;Arc System Works / Sammy;Fighter / Versus;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);preliminary;1;raster;awbios;Atomiswave BIOS;;6;;;0;;1
hardyard;Hard Yardage (v1.20);mame;;1993;Strata/Incredible Technologies;Sports / Football;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
heatbrl;Heated Barrel (World version 3);mame;;1992;TAD Corporation;Shooter / Walking;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
hiimpact;High Impact Football (rev LA5 02/15/91);mame;;1990;Williams;Sports / Football;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;1;;;0;;1
hitice;Hit the Ice (US);mame;;1990;Taito Corporation (Williams license);Sports / Hockey;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;0;;1
hook;Hook (World);mame;;1992;Irem;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
hoops96;Hoops '96 (Europe/Asia 2.0);mame;;1996;Data East Corporation;Sports / Basketball;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;4;;;0;;1
hyperath;Hyper Athlete (GV021 Japan 1.00);mame;;1996;Konami;Sports / Track & Field;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;konamigv;Baby Phoenix/GV System;chd;3;;;0;;1
intcup94;International Cup '94 (Ver 2.2O 1994/05/26);mame;;1994;Taito Corporation Japan;Sports / Soccer;4P sim;0;joystick (8-way),dial,joystick (8-way),dial,joystick (8-way),joystick (8-way);imperfect;1;raster;;;;4;;;0;;1
vshoot;J-League Soccer V-Shoot (Japan);mame;;1994;Namco;Sports / Soccer;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;0;;1
teamqb;John Elway's Team Quarterback (rev 3);mame;;1988;Leland Corporation;Sports / Football;4P sim;270;joystick (8-way),joystick (analog),joystick (8-way),joystick (8-way),joystick (analog),joystick (8-way);good;1;raster;;;;1;;;0;;1
karatblz;Karate Blazers (World, set 1);mame;;1991;Video System Co.;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;4;;;0;;1
kicknrun;Kick and Run (World);mame;;1986;Taito Corporation;Sports / Soccer;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
kov;Knights of Valour / Sanguo Zhan Ji / Sangoku Senki (ver. 117, Hong Kong);mame;;1999;IGS;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);preliminary;1;raster;pgm;PGM (Polygame Master) System BIOS;;4;;;0;;1
kov2;Knights of Valour 2 / Sanguo Zhan Ji 2 / Sangoku Senki 2 (ver. 107, 102, 100HK);mame;;2000;IGS;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;pgm;PGM (Polygame Master) System BIOS;;4;;;0;;1
kov2nl;Knights of Valour 2 New Legend / Sanguo Zhan Ji 2 Guang Sao Yu Jun (V302, Oversea);mame;;2008;IGS;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;4;;;0;;1
